Private,Apps,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
1,4200,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
0,8399,656,19,53,4658,1478,6550,4240,550,1500,85,93,15.3,8,6608,53
1,765,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
1,700,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88
1,385,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
1,560,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53
1,833,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85
1,444,122,34,53,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78
0,5165,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57
1,700,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67
1,379,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
1,917,213,21,60,979,743,8820,4050,600,2025,68,83,10.5,34,7170,50
1,592,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43
0,3440,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46
1,974,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57
1,776,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
1,4044,688,51,83,2738,138,16230,4500,630,1800,79,86,15.0,17,11217,63
1,1004,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64
0,701,458,10,40,959,457,2580,2624,500,900,48,100,20.1,24,4870,44
1,1096,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67
1,812,195,7,24,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52
1,458,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54
1,1660,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
1,632,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
1,2799,839,34,65,3322,726,13420,4770,560,1675,88,93,15.0,24,9473,77
1,2096,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,7780,77
1,2974,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67
1,959,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
1,983,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
0,2405,1061,10,22,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,35
0,3793,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19.0,10,7762,34
1,1025,297,22,66,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80
0,4158,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
1,212,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52
1,2161,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
1,876,367,14,35,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78
1,1399,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
1,1006,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64
1,1712,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47
1,3586,730,16,31,2748,1309,13250,5420,700,3100,84,92,12.3,23,11299,70
0,4772,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51
1,516,154,32,62,630,549,11020,4970,610,1900,73,75,14.0,36,9315,58
1,1557,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73
1,11901,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46
0,4777,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
1,348,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
1,2135,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
0,9239,3290,35,39,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85
1,4996,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70
1,4772,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92
1,941,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55
1,417,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
1,546,189,16,42,873,683,11138,4138,600,1200,40,74,14.0,7,8820,80
0,2397,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20.0,13,4546,45
0,18114,6180,23,57,26640,4120,10658,3734,504,600,93,95,14.0,9,10520,71
1,1457,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64
1,2248,745,38,73,2888,105,14350,3750,550,550,82,88,10.0,31,12502,83
1,355,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65
0,1757,394,32,74,2033,1078,5972,3420,600,750,77,83,13.0,11,7011,37
1,776,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45
0,368,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40
0,4400,1472,12,38,7804,1552,6950,2500,300,1200,90,95,23.1,16,5559,67
1,3596,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
1,7122,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
1,1549,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
0,11023,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64
1,1756,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70
1,594,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
1,2425,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
1,4293,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81
1,1566,483,28,55,1509,170,14200,3775,450,1100,58,81,16.4,42,8080,67
0,2850,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45
1,2961,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100
1,2519,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83
1,1557,397,15,40,1805,433,9813,4050,425,1000,45,63,16.7,29,7307,78
1,657,113,37,90,1039,466,12474,5678,630,1278,53,71,11.9,19,10613,72
1,4095,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
0,883,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48
1,1771,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74
1,374,185,45,77,995,408,8550,4050,500,1344,75,75,12.6,17,7237,62
1,713,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48
1,367,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
1,2929,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
1,798,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
1,699,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72
1,10477,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
1,1109,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73
1,962,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70
0,14596,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83
1,2994,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95
1,4019,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
1,1899,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73
1,1611,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
0,4963,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45
1,6397,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91
0,1351,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
1,321,172,11,27,620,280,7536,3736,430,1651,44,77,13.0,12,5309,36
1,2417,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81
0,2807,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15.0,29,5084,67
1,1107,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66
0,461,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
1,1576,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51
1,805,287,67,88,1376,207,11660,4325,400,900,74,79,14.0,34,8649,72
1,761,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69
1,7759,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96
0,5095,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37
1,601,203,1,20,525,323,11230,6643,2340,620,8,58,6.8,4,13025,47
1,404,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,5557,61
0,11054,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
1,2895,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91
1,2039,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
0,848,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48
0,6773,1025,15,55,5847,946,7844,2948,500,1680,66,68,18.0,19,7041,75
1,2519,462,30,61,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83
1,3356,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96
1,2459,582,36,66,2664,299,16320,5326,646,1171,87,94,11.2,14,13706,65
1,608,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
1,280,79,5,27,327,110,5590,2900,650,1952,53,63,15.1,4,4839,90
1,600,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21
1,1092,477,27,92,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68
1,696,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,68
1,553,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83
1,279,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
0,5785,499,26,62,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58
0,3580,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54
1,793,244,20,47,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60
1,990,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72
1,662,184,20,43,665,37,10720,4050,600,1650,66,70,12.5,20,7925,62
1,8766,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80
0,3347,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15.0,20,7462,56
1,544,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
1,1183,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
1,785,295,15,65,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55
1,1650,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59
1,1994,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82
1,1432,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96
1,995,398,26,47,1306,122,6230,3526,400,600,42,44,13.0,4,8189,63
1,874,428,21,46,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55
1,20192,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72
1,1606,530,23,38,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53
1,831,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60
1,3315,425,68,93,1584,3,13750,4619,680,1115,81,96,9.6,45,15736,90
1,682,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57
1,4731,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
1,1538,468,19,42,1664,1042,11690,5062,600,1664,48,80,12.9,15,8028,68
1,292,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76
1,244,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58
0,3041,1173,16,56,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53
0,3366,232,27,79,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57
1,8587,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98
1,202,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
1,1768,380,51,93,1263,11,16900,5680,450,750,89,89,19.0,33,12837,79
0,15849,2678,74,95,11278,114,12212,3792,500,1000,90,92,9.5,22,13597,95
1,464,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47
1,857,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82
0,5702,1742,15,37,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62
0,4192,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19.0,11,6393,53
1,7875,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72
0,5818,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72
1,1386,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85
1,2362,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
1,605,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75
0,4877,814,13,48,4123,298,6550,4420,620,1481,82,90,16.3,10,6442,66
1,478,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
0,19873,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78
1,193,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
0,8384,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10.0,6,13883,34
1,1496,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87
0,14939,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81
1,3294,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
0,7473,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
1,587,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,9727,55
0,9478,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59
1,1631,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67
1,1132,302,58,89,1379,214,16200,4200,436,2486,90,90,10.4,14,14329,62
1,141,55,12,21,201,173,8300,4850,450,1300,53,53,9.5,19,6936,76
1,540,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58
1,1310,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27
0,12749,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9.0,10,16527,65
1,619,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65
0,5244,1930,12,37,11561,7443,8786,2964,570,1980,79,87,15.9,8,8094,38
0,2088,362,6,29,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47
1,4892,913,13,33,3906,1446,10690,6790,570,1150,66,83,16.0,14,8107,66
1,8474,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90
1,1244,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
1,3050,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83
1,379,107,15,37,500,311,9990,4900,400,600,44,47,12.1,26,4948,33
0,3224,1057,11,31,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55
0,2957,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26
0,10706,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56
1,727,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
0,2029,1073,23,46,7535,1488,5988,3422,600,1500,91,94,15.1,13,8745,45
0,3570,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63
1,2308,295,22,46,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37
1,905,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
1,1006,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67
1,2087,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63
1,1658,395,49,80,1595,159,14800,4620,400,790,91,94,13.3,37,10779,68
1,1267,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
1,1046,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69
1,875,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66
0,950,351,42,72,1276,9,14320,5304,490,1410,77,77,14.9,17,8837,87
0,9167,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55
1,571,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
1,1681,344,35,63,1235,30,16249,5699,500,1998,84,92,13.6,29,11778,52
1,2491,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
1,601,204,28,57,671,11,13000,4100,400,460,91,91,11.6,43,11087,56
1,936,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
1,323,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,64
1,8256,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62
0,3325,1301,20,45,5800,872,4200,2700,300,1200,53,60,20.2,18,5318,58
1,4414,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
0,1801,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68
1,8506,1236,76,97,5544,192,17600,6000,600,870,97,98,5.0,28,28457,96
1,460,167,14,45,604,350,10740,3676,350,900,67,71,11.0,27,7963,74
0,1797,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
0,2409,759,17,50,3819,1347,6900,2800,475,1200,81,89,22.2,1,5968,46
1,3014,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
1,1013,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
1,4302,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
1,3767,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85
1,427,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
1,263,103,10,24,316,20,8438,3372,500,2958,42,50,11.1,4,11989,15
1,1465,188,10,30,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58
1,174,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58
1,2643,465,36,80,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78
1,3579,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
1,1777,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90
1,888,393,26,60,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98
1,1738,417,21,55,1335,30,18460,5970,700,850,92,96,13.2,41,22704,71
0,1879,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72
1,257,109,19,41,396,38,7850,3410,400,1500,55,70,10.0,15,7233,53
1,1083,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
1,2190,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
1,2853,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
0,1800,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
1,3495,528,49,84,1915,123,18732,6204,450,1024,94,96,11.5,49,15411,88
1,1127,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76
0,5318,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42
0,7294,904,7,34,5758,1363,6550,4460,500,705,79,83,19.0,14,6632,49
1,7791,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
1,1641,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
1,578,187,25,50,880,477,6930,3452,400,1525,57,64,11.0,11,6383,32
1,7365,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33
1,584,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52
1,1680,691,34,76,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61
0,3073,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19.0,11,5801,68
1,11115,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
1,440,112,25,49,466,7,10000,3052,400,1100,65,75,11.4,20,9430,63
1,232,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42
1,589,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
1,1879,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71
1,1860,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87
0,4216,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56
0,8579,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
1,1432,548,56,84,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85
0,9274,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
1,360,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54
0,4350,756,39,78,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84
0,480,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
1,1154,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
0,1401,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36
1,12394,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,25765,93
1,1758,419,27,58,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72
1,3151,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44
1,672,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72
1,3821,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66
0,5191,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53
1,920,347,35,66,1133,42,11090,4700,400,750,80,80,12.0,31,12639,79
0,14752,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65
0,3121,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61
1,1190,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63
0,5530,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40
1,555,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
1,602,206,21,47,958,466,8620,4100,400,2250,58,68,11.0,21,6136,65
1,1160,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
1,1320,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
1,824,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59
